implementation,msg_size,threads,throughput_gbps,avg_latency_us,bytes_sent,bytes_received,messages
two_copy,1024,1,0.4864,33.59,91204608,91204608,89067
two_copy,1024,2,1.0876,30.05,203919360,203919360,199140
two_copy,1024,4,1.8223,35.89,341680128,341680128,333672
two_copy,1024,8,2.9080,44.99,545249280,545249280,532470
two_copy,4096,1,1.9107,34.21,358256640,358256640,87465
two_copy,4096,2,3.6344,35.98,681447424,681447424,166369
two_copy,4096,4,6.0368,43.33,1131909120,1131909120,276345
two_copy,4096,8,6.1558,85.05,1154215936,1154215936,281791
two_copy,16384,1,6.4142,40.78,1202667520,1202667520,73405
two_copy,16384,2,12.0168,43.54,2253144064,2253144064,137521
two_copy,16384,4,16.1775,64.66,3033284608,3033284608,185137
two_copy,16384,8,21.5618,97.13,4042833920,4042833920,246755
two_copy,65536,1,26.3699,39.66,4944363520,4944363520,75445
two_copy,65536,2,26.8002,78.11,5025038336,5025038336,76676
two_copy,65536,4,23.7656,176.13,4456054784,4456054784,67994
two_copy,65536,8,25.5140,328.31,4783865856,4783865856,72996
one_copy,1024,1,0.4764,34.30,89321472,89321472,87228
one_copy,1024,2,0.9532,34.29,178725888,178725888,174537
one_copy,1024,4,1.6255,40.23,304788480,304788480,297645
one_copy,1024,8,2.0148,64.95,377774080,377774080,368920
one_copy,4096,1,2.0457,31.95,383578112,383578112,93647
one_copy,4096,2,3.8741,33.75,726396928,726396928,177343
one_copy,4096,4,4.8669,53.75,912539648,912539648,222788
one_copy,4096,8,6.5915,79.42,1235902464,1235902464,301734
one_copy,16384,1,7.3903,35.39,1385676800,1385676800,84575
one_copy,16384,2,20.2186,25.85,3790979072,3790979072,231383
one_copy,16384,4,15.6946,66.69,2942730240,2942730240,179610
one_copy,16384,8,23.7160,88.31,4446748672,4446748672,271408
one_copy,65536,1,20.7566,50.32,3891855360,3891855360,59385
one_copy,65536,2,20.5136,102.09,3846307840,3846307840,58690
one_copy,65536,4,21.4154,195.57,4015390720,4015390720,61270
one_copy,65536,8,28.1228,298.11,5273026560,5273026560,80460
zero_copy,1024,1,0.2891,54.11,54213632,54213632,52943
zero_copy,1024,2,0.5691,54.98,106705920,106705920,104205
zero_copy,1024,4,0.9741,64.77,182639616,182639616,178359
zero_copy,1024,8,1.4372,88.60,269469696,269469696,263154
zero_copy,4096,1,1.1567,54.11,216887296,216887296,52951
zero_copy,4096,2,2.2216,56.41,416542720,416542720,101695
zero_copy,4096,4,3.6137,69.60,677568512,677568512,165422
zero_copy,4096,8,4.2936,119.05,805056512,805056512,196547
zero_copy,16384,1,4.2649,59.07,799670272,799670272,48808
zero_copy,16384,2,9.0070,55.87,1688813568,1688813568,103077
zero_copy,16384,4,13.0059,77.76,2438610944,2438610944,148841
zero_copy,16384,8,15.8665,129.26,2974973952,2974973952,181578
zero_copy,65536,1,16.5811,61.12,3108962304,3108962304,47439
zero_copy,65536,2,21.9565,92.04,4116840448,4116840448,62818
zero_copy,65536,4,17.2372,237.63,3231973376,3231973376,49316
zero_copy,65536,8,16.3190,507.99,3059810304,3059810304,46689
